timestamp,ECG_I,ECG_II,ECG_III,AccX,AccY,AccZ,AccMag
7166.0,1.742558,1.73063,-0.011928,0.4315,0.7845,10.3558,10.394432458773302
7176.0,1.752317,1.745811,-0.006506,0.4315,0.7453,10.3166,10.35248278916705
7186.0,1.743642,1.727377,-0.016265,0.4315,0.7845,10.3558,10.394432458773302
7196.0,1.756654,1.752317,-0.004337,0.4315,0.7845,10.3558,10.394432458773302
7206.0,1.745811,1.745811,0.0,0.4707,0.7453,10.3166,10.354190752540731
7216.0,1.752317,1.751232,-0.001084,0.5099,0.7453,10.3166,10.356046816232533
7226.0,1.765329,1.765329,0.0,0.5492,0.7845,10.3166,10.36095055726066
7236.0,1.745811,1.749064,0.003253,0.5492,0.7845,10.3166,10.36095055726066
7246.0,1.767498,1.767498,0.0,0.5099,0.7453,10.3166,10.356046816232533
7256.0,1.770751,1.754485,-0.016265,0.5099,0.7845,10.3166,10.358941732628868
7266.0,1.766413,1.762076,-0.004337,0.5099,0.7845,10.3558,10.397982107120592
7276.0,1.779426,1.781594,0.002169,0.5099,0.7845,10.3166,10.358941732628868
7286.0,1.756654,1.76316,0.006506,0.5099,0.7845,10.3166,10.358941732628868
7296.0,1.776173,1.78051,0.004337,0.5099,0.8238,10.3166,10.361992086949304
7306.0,1.771835,1.774004,0.002169,0.5099,0.7845,10.3166,10.358941732628868
7316.0,1.769666,1.776173,0.006506,0.4315,0.7453,10.3166,10.35248278916705
7326.0,1.785932,1.7881,0.002169,0.5492,0.7845,10.3166,10.36095055726066
7336.0,1.769666,1.769666,0.0,0.4707,0.7845,10.3558,10.396133530308276
7346.0,1.785932,1.793522,0.00759,0.4707,0.7453,10.3558,10.39324897325182
7356.0,1.779426,1.781594,0.002169,0.5099,0.7453,10.3166,10.356046816232533
7366.0,1.78051,1.785932,0.005422,0.4315,0.7453,10.3558,10.391547429521745
7376.0,1.796775,1.796775,0.0,0.5099,0.7453,10.2774,10.316996697682907
7386.0,1.777257,1.776173,-0.001084,0.4707,0.7845,10.2774,10.318040002829996
7396.0,1.796775,1.802197,0.005422,0.5099,0.7453,10.4343,10.473303518470187
7406.0,1.785932,1.794607,0.008675,0.5099,0.7845,10.3558,10.397982107120592
7416.0,1.790269,1.794607,0.004337,0.4707,0.7845,10.3166,10.357086187726738
7426.0,1.798944,1.811956,0.013012,0.4707,0.8238,10.3166,10.360137088378705
7436.0,1.784847,1.795691,0.010844,0.4707,0.8238,10.3166,10.360137088378705
7446.0,1.807619,1.814125,0.006506,0.5099,0.8238,10.3166,10.361992086949304
7456.0,1.794607,1.808703,0.014097,0.4315,0.7845,10.2381,10.277174908991283
7466.0,1.794607,1.80545,0.010844,0.4707,0.7845,10.3166,10.357086187726738
7476.0,1.809787,1.819547,0.009759,0.4315,0.7845,10.3166,10.355378701911388
7486.0,1.794607,1.795691,0.001084,0.4707,0.7453,10.3166,10.354190752540731
7496.0,1.809787,1.821715,0.011928,0.4707,0.7845,10.3166,10.357086187726738
7506.0,1.80545,1.811956,0.006506,0.5492,0.7453,10.2774,10.319013687848273
7516.0,1.806534,1.809787,0.003253,0.5099,0.7453,10.3166,10.356046816232533
7526.0,1.809787,1.819547,0.009759,0.4707,0.7453,10.3558,10.39324897325182
7536.0,1.815209,1.831475,0.016265,0.5099,0.7453,10.2774,10.316996697682907
7546.0,1.870511,1.908464,0.037952,0.5099,0.7061,10.3166,10.353299511749864
7556.0,1.895451,1.950754,0.055302,0.4707,0.7453,10.2774,10.315133607472083
7566.0,1.919307,1.978947,0.059639,0.5492,0.7453,10.2774,10.319013687848273
7576.0,1.921476,1.985453,0.063977,0.4707,0.7845,10.395,10.435182017578802
7586.0,1.878102,1.917139,0.039037,0.5099,0.7845,10.3558,10.397982107120592
7596.0,1.858583,1.885692,0.027109,0.5492,0.7453,10.3558,10.397099901895722
7606.0,1.809787,1.819547,0.009759,0.5492,0.8238,10.3558,10.403021711022236
7616.0,1.785932,1.785932,0.0,0.5099,0.8238,10.3166,10.361992086949304
7626.0,1.798944,1.80545,0.006506,0.4707,0.7845,10.3558,10.396133530308276
7636.0,1.7881,1.782679,-0.005422,0.5492,0.7845,10.3558,10.399983390852123
7646.0,1.800028,1.804366,0.004337,0.5099,0.7453,10.3166,10.356046816232533
7656.0,1.794607,1.792438,-0.002169,0.5099,0.7453,10.2774,10.316996697682907
